nummer,adresse,plz,stadtteil,stadt,beschallungsradius,_last_update,_uuid,_dic_id
S001,Heerdter Landstraße 186,40549,Heerdt,Düsseldorf,1000,2026-04-15,96cd28ef-f1fa-46d2-a580-c4f115e96e8c,fwrsir
S002,Grevenbroicher Weg 70,40547,Lörick,Düsseldorf,900,2026-04-15,ebb11104-8107-402a-bfde-a8cf13ac6af2,fwrsir
S003,Comeniusstraße 1,40545,Oberkassel,Düsseldorf,1000,2026-04-15,01dabe28-6a9f-4bfe-a5e1-7df92ee219b5,fwrsir
S004,Am Heerdter Krankenhaus 2,40549,Heerdt,Düsseldorf,800,2026-04-15,b6c2fb2b-3054-4e65-a0c2-2c641412b01b,fwrsir
S005,Emanuel-Leutze-Straße 8,40547,Lörick,Düsseldorf,600,2026-04-15,1adf8622-5b33-4c6e-a081-d6a8dd4c9492,fwrsir
S007,Emil-Barth-Straße 1 (1-7),40595,Garath,Düsseldorf,1000,2026-04-15,b13985a1-37dc-4b8b-a6d2-43a52a3ad824,fwrsir
S010,Im Grund 78,40474,Lohausen,Düsseldorf,1000,2026-04-15,8fc6916b-96a0-4e18-bd73-db2728b37000,fwrsir
S011,Am Staad 100,40474,Stockum,Düsseldorf,600,2026-04-15,7418814b-2d29-4a13-a235-f901ff21e452,fwrsir
S012,Stockumer Kirchstraße 61,40474,Stockum,Düsseldorf,1000,2026-04-15,7fb89d5b-3954-40ee-b0f3-05e97e2585c0,fwrsir
S013,An der Golzheimer Heide 120,40468,Unterrath,Düsseldorf,1000,2026-04-15,906a36e9-df60-47cc-a8c6-f801a4c5169a,fwrsir
S014,Tersteegenstraße 28,40474,Golzheim,Düsseldorf,800,2026-04-15,984e4558-202c-483a-ad17-8a402b5bfc64,fwrsir
S015,Rather Straße 51,40476,Derendorf,Düsseldorf,1000,2026-04-15,0f1b2b9f-a0da-45ce-8c02-f9599048db07,fwrsir
S016,Heinrichstraße 24,40239,Düsseltal,Düsseldorf,1000,2026-04-15,f92d3ca1-4ddd-4dea-b278-4d26ed62567d,fwrsir
S017,Cecilienallee 3,40474,Pempelfort,Düsseldorf,900,2026-04-15,33266828-f26a-497f-b9d5-d5552f495f27,fwrsir
S018,Franklinstraße 41 - 43,40479,Pempelfort,Düsseldorf,800,2026-04-15,8988166d-44af-44f6-b618-cfc968fd6de9,fwrsir
S019,Königsallee 1 - 9 (1),40213,Stadtmitte,Düsseldorf,800,2026-04-15,2403ab9d-c588-4dbd-9f1b-0959cec4e353,fwrsir
S020,Konrad-Adenauer-Platz 1 (1-1a),40210,Stadtmitte,Düsseldorf,800,2026-04-15,2def8a75-4be2-4815-9324-92787dede1e9,fwrsir
S021,Hoffeldstraße 69,40235,Flingern Nord,Düsseldorf,800,2026-04-15,a583b449-0a56-4048-ac2a-9c88421acba2,fwrsir
S022,Hamburger Straße 5,40221,Hafen,Düsseldorf,1000,2026-04-15,bb04b738-de11-4b67-bd60-d89b95598617,fwrsir
S023,Speditionstraße 17,40221,Hafen,Düsseldorf,800,2026-04-15,f1d81816-dec5-4a94-bf09-d2e4e5389d1b,fwrsir
